building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage,rooms,latitude,longitude,distance_wh,distance_cap,zscore_price
512 TENNESSEE AVE NE #LL,"512 Tennessee Avenue Northeast, Washington, DC","One of two spacious  3 bedroom , 2 bath  units  along the H street corridor. lower level is available immediately. Stainless, granite, wood tile floors, master bedroom with walk-in closet and separate bath.",1,3 Bedrooms,2900,1392,4,38.8964914,-76.98498520000003,4380,2165,0.28057747072266975
512 TENNESSEE AVE NE #LL,"512 Tennessee Avenue Northeast, Washington, DC","One of two spacious  3 bedroom , 2 bath  units  along the H street corridor. lower level is available immediately. Stainless, granite, wood tile floors, master bedroom with walk-in closet and separate bath.",1,3 Bedrooms,2900,1392,4,38.8964914,-76.98498520000003,4380,2165,0.28057747072266975
1431 11TH ST NW #301,"1431 11th Street Northwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 1431 11TH ST NW #301 in
      Washington. View photos, descriptions and more!
",1,1 Bedroom,2500,650,2,38.9093411,-77.02668050000003,1464,2657,0.01769798630984966
1431 11TH ST NW #301,"1431 11th Street Northwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 1431 11TH ST NW #301 in
      Washington. View photos, descriptions and more!
",1,1 Bedroom,2500,650,2,38.9093411,-77.02668050000003,1464,2657,0.01769798630984966
2611 ADAMS MILL RD NW #104,"2611 Adams Mill Road Northwest, Washington, DC","Sweet, sunlit 1 bed/1 bath updated unit with awesome finishes in charming building.  This unit features wood floors, large windows, new bath, dynamite custom closet, & in-unit washer/dryer. Great living/dining area and modern kitchen.",1,1 Bedroom,1950,500,2,38.9238148,-77.0438982,2951,4843,-0.343761304757778
2611 ADAMS MILL RD NW #104,"2611 Adams Mill Road Northwest, Washington, DC","Sweet, sunlit 1 bed/1 bath updated unit with awesome finishes in charming building.  This unit features wood floors, large windows, new bath, dynamite custom closet, & in-unit washer/dryer. Great living/dining area and modern kitchen.",1,2 Bedrooms,2320,1106,3,38.9238148,-77.0438982,2951,4843,-0.10059778167591939
2611 ADAMS MILL RD NW #104,"2611 Adams Mill Road Northwest, Washington, DC","Sweet, sunlit 1 bed/1 bath updated unit with awesome finishes in charming building.  This unit features wood floors, large windows, new bath, dynamite custom closet, & in-unit washer/dryer. Great living/dining area and modern kitchen.",1,1 Bedroom,1950,500,2,38.9238148,-77.0438982,2951,4843,-0.343761304757778
2611 ADAMS MILL RD NW #104,"2611 Adams Mill Road Northwest, Washington, DC","Sweet, sunlit 1 bed/1 bath updated unit with awesome finishes in charming building.  This unit features wood floors, large windows, new bath, dynamite custom closet, & in-unit washer/dryer. Great living/dining area and modern kitchen.",1,2 Bedrooms,2320,1106,3,38.9238148,-77.0438982,2951,4843,-0.10059778167591939
5611 5TH ST NW #21,"5611 5th Street Northwest, Washington, DC","Sweet, sunlit 1 bedroom oasis with awesome finishes in charming, well maintained building.  This bright & sunny unit is flooded with natural light and features wood floors, multiple exposures, updated bath, dynamite kitchen, & in-unit washer/dryer.",1,Studio,1311,480,1,38.9579755,-77.0197651,6788,7603,-0.763711281107258
5611 5TH ST NW #21,"5611 5th Street Northwest, Washington, DC","Sweet, sunlit 1 bedroom oasis with awesome finishes in charming, well maintained building.  This bright & sunny unit is flooded with natural light and features wood floors, multiple exposures, updated bath, dynamite kitchen, & in-unit washer/dryer.",1,1 Bedroom,1600,547,2,38.9579755,-77.0197651,6788,7603,-0.5737808536189956
5611 5TH ST NW #21,"5611 5th Street Northwest, Washington, DC","Sweet, sunlit 1 bedroom oasis with awesome finishes in charming, well maintained building.  This bright & sunny unit is flooded with natural light and features wood floors, multiple exposures, updated bath, dynamite kitchen, & in-unit washer/dryer.",1,Studio,1311,480,1,38.9579755,-77.0197651,6788,7603,-0.763711281107258
5611 5TH ST NW #21,"5611 5th Street Northwest, Washington, DC","Sweet, sunlit 1 bedroom oasis with awesome finishes in charming, well maintained building.  This bright & sunny unit is flooded with natural light and features wood floors, multiple exposures, updated bath, dynamite kitchen, & in-unit washer/dryer.",1,1 Bedroom,1600,547,2,38.9579755,-77.0197651,6788,7603,-0.5737808536189956
822 9TH STREET NE,"822 9th Street Northeast, Washington, DC","Lower unit of a townhouse in Great Location! Ceramic flooring, large rooms with ample closet space. Upgraded kitchen, surround tiles in bathroom. Laundry in unit.  Walk out to fenced backyard.",1,2 Bedrooms,1900,1042,3,38.90115309999999,-76.99391120000001,3618,1769,-0.3766212403093805
822 9TH STREET NE,"822 9th Street Northeast, Washington, DC","Lower unit of a townhouse in Great Location! Ceramic flooring, large rooms with ample closet space. Upgraded kitchen, surround tiles in bathroom. Laundry in unit.  Walk out to fenced backyard.",1,2 Bedrooms,1900,1042,3,38.90115309999999,-76.99391120000001,3618,1769,-0.3766212403093805
811 4TH ST NW #222,"811 4th Street Northwest, Washington, DC","Just Listed | Spacious, sharp 1 bedroom with high ceilings and flooded with natural light in popular Madrigal Lofts . Open floor plan with new paint, stainless/granite kitchen, large bath, huge windows and great closets.",1,1 Bedroom,2000,550,2,38.9010047,-77.01591859999998,1724,1374,-0.31090136920617545
811 4TH ST NW #222,"811 4th Street Northwest, Washington, DC","Just Listed | Spacious, sharp 1 bedroom with high ceilings and flooded with natural light in popular Madrigal Lofts . Open floor plan with new paint, stainless/granite kitchen, large bath, huge windows and great closets.",1,2 Bedrooms,2320,1106,3,38.9010047,-77.01591859999998,1724,1374,-0.10059778167591939
811 4TH ST NW #222,"811 4th Street Northwest, Washington, DC","Just Listed | Spacious, sharp 1 bedroom with high ceilings and flooded with natural light in popular Madrigal Lofts . Open floor plan with new paint, stainless/granite kitchen, large bath, huge windows and great closets.",1,1 Bedroom,2000,550,2,38.9010047,-77.01591859999998,1724,1374,-0.31090136920617545
811 4TH ST NW #222,"811 4th Street Northwest, Washington, DC","Just Listed | Spacious, sharp 1 bedroom with high ceilings and flooded with natural light in popular Madrigal Lofts . Open floor plan with new paint, stainless/granite kitchen, large bath, huge windows and great closets.",1,2 Bedrooms,2320,1106,3,38.9010047,-77.01591859999998,1724,1374,-0.10059778167591939
3 WASHINGTON CIR NW #803,"3 Washington Circle NW, Washington, DC","AVAILABLE NOVEMBER 1st!!!  Beautiful 2 bedrooms 2 bath with exclusive views of Washington Circle, just minutes from Foggy Bottom and George Washington University! Tons of natural light comes through to all rooms.",1,1 Bedroom,1651,719,2,38.90327960000001,-77.05036640000002,1418,3914,-0.540263719356361
3 WASHINGTON CIR NW #803,"3 Washington Circle NW, Washington, DC","AVAILABLE NOVEMBER 1st!!!  Beautiful 2 bedrooms 2 bath with exclusive views of Washington Circle, just minutes from Foggy Bottom and George Washington University! Tons of natural light comes through to all rooms.",1,2 Bedrooms,3300,1042,3,38.90327960000001,-77.05036640000002,1418,3914,0.5434569551354899
3 WASHINGTON CIR NW #803,"3 Washington Circle NW, Washington, DC","AVAILABLE NOVEMBER 1st!!!  Beautiful 2 bedrooms 2 bath with exclusive views of Washington Circle, just minutes from Foggy Bottom and George Washington University! Tons of natural light comes through to all rooms.",1,1 Bedroom,1651,719,2,38.90327960000001,-77.05036640000002,1418,3914,-0.540263719356361
3 WASHINGTON CIR NW #803,"3 Washington Circle NW, Washington, DC","AVAILABLE NOVEMBER 1st!!!  Beautiful 2 bedrooms 2 bath with exclusive views of Washington Circle, just minutes from Foggy Bottom and George Washington University! Tons of natural light comes through to all rooms.",1,2 Bedrooms,3300,1042,3,38.90327960000001,-77.05036640000002,1418,3914,0.5434569551354899
2516 EAST PL NW,"2516 East Place Northwest, Washington, DC","A little jewel in the heart of Georgetown. Historic townhouse located on a quiet cul de sac near Rose Park. 950 sqft, extensively renovated. Open living room/dining room area with gas fireplace. Designer kitchen.",1,1 Bedroom,3700,680,2,38.9101249,-77.0544561,2125,4563,0.8063364395483099
2516 EAST PL NW,"2516 East Place Northwest, Washington, DC","A little jewel in the heart of Georgetown. Historic townhouse located on a quiet cul de sac near Rose Park. 950 sqft, extensively renovated. Open living room/dining room area with gas fireplace. Designer kitchen.",1,1 Bedroom,3700,680,2,38.9101249,-77.0544561,2125,4563,0.8063364395483099
3640 JAMISON ST NE,"3640 Jamison Street Northeast, Washington, DC","Gorgeous 5 bedroom end unit available in the Reserves at Dakota Crossing.  This immaculate home has hardwood floors throughout, 4 full bathrooms, 1 half bath and a roof deck.",1,5 Bedrooms,4000,2222,6,38.9248097,-76.9531494,7730,6162,1.003496052857925
3640 JAMISON ST NE,"3640 Jamison Street Northeast, Washington, DC","Gorgeous 5 bedroom end unit available in the Reserves at Dakota Crossing.  This immaculate home has hardwood floors throughout, 4 full bathrooms, 1 half bath and a roof deck.",1,5 Bedrooms,4000,2222,6,38.9248097,-76.9531494,7730,6162,1.003496052857925
2600 TUNLAW RD NW #3,"2600 Tunlaw Road Northwest, Washington, DC","Located on the second floor walk-up in a quiet building in tree-lined Glover Park,step into this spacious one bdrm/bath contemporary unit complete w/ hardwood floors, in-unit washer/dryer, newer bathroom & fireplace.",1,1 Bedroom,1680,537,2,38.9238038,-77.0756821,4511,6924,-0.5212049567364315
2600 TUNLAW RD NW #3,"2600 Tunlaw Road Northwest, Washington, DC","Located on the second floor walk-up in a quiet building in tree-lined Glover Park,step into this spacious one bdrm/bath contemporary unit complete w/ hardwood floors, in-unit washer/dryer, newer bathroom & fireplace.",1,1 Bedroom,1680,537,2,38.9238038,-77.0756821,4511,6924,-0.5212049567364315
1247 WISCONSIN AVE AVE E #305,"1247 Wisconsin Avenue Northwest, Washington, DC","This modern one bedroom one and a half baths, located in the heart of Georgetown features a gourmet kitchen w/ top of the line stainless steel appliances gas cooking subzero, hardwood floors, fireplace, outdoor patio, and marble baths.",1,1 Bedroom,3800,680,2,38.9061583,-77.06263,2524,5021,0.872056310651515
1247 WISCONSIN AVE AVE E #305,"1247 Wisconsin Avenue Northwest, Washington, DC","This modern one bedroom one and a half baths, located in the heart of Georgetown features a gourmet kitchen w/ top of the line stainless steel appliances gas cooking subzero, hardwood floors, fireplace, outdoor patio, and marble baths.",1,1 Bedroom,3800,680,2,38.9061583,-77.06263,2524,5021,0.872056310651515
4009 8TH ST NE #4,"4009 8th Street Northeast, Washington, DC","Attentively updated while maintaining the vintage charm. This top floor unit has a granite kitchen counters, built in microwave, dishwasher, hardwood floors, W/D in unit and a gas range.",1,2 Bedrooms,1795,1042,3,38.93982020000001,-76.99425490000002,5852,5662,-0.44562710496774577
4009 8TH ST NE #4,"4009 8th Street Northeast, Washington, DC","Attentively updated while maintaining the vintage charm. This top floor unit has a granite kitchen counters, built in microwave, dishwasher, hardwood floors, W/D in unit and a gas range.",1,2 Bedrooms,1795,1042,3,38.93982020000001,-76.99425490000002,5852,5662,-0.44562710496774577
17 EVARTS ST NE,"17 Evarts Street Northeast, Washington, DC","Rental space is for the main and upper floor only (basement not included), utilities-WIFI included, parking for 2 cars.",1,4 Bedrooms,4000,1689,5,38.9243118,-77.00814670000003,3754,3804,1.003496052857925
17 EVARTS ST NE,"17 Evarts Street Northeast, Washington, DC","Rental space is for the main and upper floor only (basement not included), utilities-WIFI included, parking for 2 cars.",1,4 Bedrooms,4000,1689,5,38.9243118,-77.00814670000003,3754,3804,1.003496052857925
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,Studio,1900,459,1,38.89905,-77.052542,1488,3945,-0.3766212403093805
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,1 Bedroom,1651,719,2,38.89905,-77.052542,1488,3945,-0.540263719356361
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,2 Bedrooms,2320,1106,3,38.89905,-77.052542,1488,3945,-0.10059778167591939
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,Studio,1900,459,1,38.89905,-77.052542,1488,3945,-0.3766212403093805
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,1 Bedroom,1651,719,2,38.89905,-77.052542,1488,3945,-0.540263719356361
2475 VIRGINIA AVE NW #323,"2475 Virginia Avenue Northwest, Washington, DC","IT IS LOCATION, LOCATION, LOCATION just across from The Kennedy Center.  Complete Building Interior & Grounds Renovation w/New Central A/C throughout.  New Fitness Center and Renovated Laundry Facility.",1,2 Bedrooms,2320,1106,3,38.89905,-77.052542,1488,3945,-0.10059778167591939
400 MASSACHUSETTS AVENUE NW,"400 Massachusetts Avenue Northwest, Washington, DC","One bedroom one bath unit within 400 Mass Ave Condos, in the heart of DC~s Central downtown neighborhood. Open layout with track lighting, built-ins and hardwood floor.",1,1 Bedroom,2750,1063,2,38.9000581,-77.0171333,1603,1337,0.18199766406786222
400 MASSACHUSETTS AVENUE NW,"400 Massachusetts Avenue Northwest, Washington, DC","One bedroom one bath unit within 400 Mass Ave Condos, in the heart of DC~s Central downtown neighborhood. Open layout with track lighting, built-ins and hardwood floor.",1,2 Bedrooms,2320,1106,3,38.9000581,-77.0171333,1603,1337,-0.10059778167591939
1400 1ST STREET SW,"1400 1st Street Southwest, Washington, DC","LOCATION, LOCATION, LOCATION!!Steps to Nats park, Audi Field, Navy Yard, Wharf, Bars, restaurants and more!!Close to Metro, and transportation. Updated kitchen, central cooling and heat! For more information call Listing agent at 703-507-7614",1,3 Bedrooms,3990,1666,4,38.872811,-77.01190199999998,3467,1935,0.9969240657476045
1000 NEW JERSEY AVENUE SE,"1000 New Jersey Avenue Southeast, Washington, DC","Address: 1000 New Jersey Avenue SE Unit 322Neighorhood: WaterfrontMarket Rent: $1,800 for a 24 month lease OR $1,900 for a 12 Month Lease Tenant Responsible for: Gas, Electricity, Cable, Internet, & PhoneSquare Feet: 720 Square FeetUtilities ",1,1 Bedroom,1800,650,2,38.878061,-77.00439279999998,3490,1378,-0.44234111141258553
1000 NEW JERSEY AVENUE SE,"1000 New Jersey Avenue Southeast, Washington, DC","Address: 1000 New Jersey Avenue SE Unit 322Neighorhood: WaterfrontMarket Rent: $1,800 for a 24 month lease OR $1,900 for a 12 Month Lease Tenant Responsible for: Gas, Electricity, Cable, Internet, & PhoneSquare Feet: 720 Square FeetUtilities ",1,2 Bedrooms,2320,1106,3,38.878061,-77.00439279999998,3490,1378,-0.10059778167591939
2939 VAN NESS STREET NW,"2939 Van Ness Street Northwest, Washington, DC","*JOIN US THIS SUNDAY FOR OUR IN-PERSON OPEN HOUSE!* Welcome home to your new fully furnished (or unfurnished) one bedroom apartment in Van Ness East! This apartment boasts beautiful hardwood floors, a fully equipped kitchen with stainless ",1,Studio,1311,480,1,38.944397,-77.05999920000002,5567,7504,-0.763711281107258
2939 VAN NESS STREET NW,"2939 Van Ness Street Northwest, Washington, DC","*JOIN US THIS SUNDAY FOR OUR IN-PERSON OPEN HOUSE!* Welcome home to your new fully furnished (or unfurnished) one bedroom apartment in Van Ness East! This apartment boasts beautiful hardwood floors, a fully equipped kitchen with stainless ",1,1 Bedroom,1850,754,2,38.944397,-77.05999920000002,5567,7504,-0.409481175860983
2939 VAN NESS STREET NW,"2939 Van Ness Street Northwest, Washington, DC","*JOIN US THIS SUNDAY FOR OUR IN-PERSON OPEN HOUSE!* Welcome home to your new fully furnished (or unfurnished) one bedroom apartment in Van Ness East! This apartment boasts beautiful hardwood floors, a fully equipped kitchen with stainless ",1,2 Bedrooms,2320,1106,3,38.944397,-77.05999920000002,5567,7504,-0.10059778167591939
410 K STREET NE,"410 K Street Northeast, Washington, DC","This absolutely stunning remodel is a MUST SEE, boasting two gorgeous units with luxurious finishes galore.",1,2 Bedrooms,3500,1500,3,38.902806,-77.00008729999998,3111,1595,0.6748966973418999
3935 9TH STREET NE,"3935 9th Street Northeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 3935 9TH STREET NE in
      Washington. View photos, descriptions and more!
",1,1 Bedroom,1600,1100,2,38.9390426,-76.9937599,5810,5588,-0.5737808536189956
124 WILMINGTON PLACE SE,"124 Wilmington Place Southeast, Washington, DC",Beautifully renovated 2 Bedroom 1 Bathroom in Congress Heights. 5 minutes from 295. Easy access to the rest of the city. A mile away from Giant. Less than a mile to Congress Heights Metro.,1,2 Bedrooms,1550,2772,3,38.8366463,-77.0046935,7321,5937,-0.606640789170598
916 7TH STREET NE,"916 7th Street Northeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 916 7TH STREET NE in
      Washington. View photos, descriptions and more!
",1,Studio,1650,2316,1,38.90186110000001,-76.99638089999998,3414,1683,-0.5409209180673931
916 7TH STREET NE,"916 7th Street Northeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 916 7TH STREET NE in
      Washington. View photos, descriptions and more!
",1,2 Bedrooms,2320,1106,3,38.90186110000001,-76.99638089999998,3414,1683,-0.10059778167591939
701 PENNSYLVANIA AVENUE NW,"701 Pennsylvania Avenue Northwest, Washington, DC",The opportunity is now...You've been looking for that perfect place.  You knew it was out there and that it was more then bricks and mortar it is the place that you will create memories with friends and family. Welcome home to 701 Pennsylvania Ave.,1,1 Bedroom,2450,539,2,38.8945661,-77.0225318,1184,1312,-0.015161949241752853
525 WATER STREET SW,"525 Water Street Southwest, Washington, DC","FOR LEASE! Street Level Unit - Modern 920 SF 2BR/2BA condo w/ cozy and inviting living room and gourmet kitchen w/ SS appliances and dining area, washer & dryer in unit,  master bedroom w/ a walk-in closet, and beautiful bathrooms.",1,1 Bedroom,1651,719,2,38.87605900000001,-77.02023989999998,2775,1854,-0.540263719356361
525 WATER STREET SW,"525 Water Street Southwest, Washington, DC","FOR LEASE! Street Level Unit - Modern 920 SF 2BR/2BA condo w/ cozy and inviting living room and gourmet kitchen w/ SS appliances and dining area, washer & dryer in unit,  master bedroom w/ a walk-in closet, and beautiful bathrooms.",1,2 Bedrooms,3000,915,3,38.87605900000001,-77.02023989999998,2775,1854,0.3462973418258748
1200 Q STREET NW,"1200 Q Street Northwest, Washington, DC","Newly renovated 1 bedroom/1 bathroom condo in a walk-up building, in Logan Circle.Located in one of DC's top 5 most walkable neighborhoods. Daily errands do not require a car.",1,1 Bedroom,2400,546,2,38.9109746,-77.02841200000002,1557,2892,-0.04802188479335537
1443 E CAPITOL STREET SE,"1443 East Capitol Street Northeast, Washington, DC","Charming ground floor unit in fabulous walkable location! Spacious living area w/ fireplace, nice kitchen, large bedroom room and in-unit laundry. The walls have been painted white. Only 1/2 mile to Metro.",1,1 Bedroom,2000,1462,2,38.8896103,-76.98396960000002,4562,2132,-0.31090136920617545
1443 E CAPITOL STREET SE,"1443 East Capitol Street Northeast, Washington, DC","Charming ground floor unit in fabulous walkable location! Spacious living area w/ fireplace, nice kitchen, large bedroom room and in-unit laundry. The walls have been painted white. Only 1/2 mile to Metro.",1,2 Bedrooms,2320,1106,3,38.8896103,-76.98396960000002,4562,2132,-0.10059778167591939
2004 D STREET NE,"2004 D Street Northeast, Washington, DC","New price. Close to the H Street corridor; easy commute to Capitol Hill, BW Parkway and 295. Renovated 1 BR w/ finished den, open kitchen, with granite counters, stainless steel appliances and new flooring throughout. Turnkey property, move-in ready.",1,1 Bedroom,1651,719,2,38.89498270000001,-76.9758949,5176,2885,-0.540263719356361
2004 D STREET NE,"2004 D Street Northeast, Washington, DC","New price. Close to the H Street corridor; easy commute to Capitol Hill, BW Parkway and 295. Renovated 1 BR w/ finished den, open kitchen, with granite counters, stainless steel appliances and new flooring throughout. Turnkey property, move-in ready.",1,2 Bedrooms,2150,3360,3,38.89498270000001,-76.9758949,5176,2885,-0.21232156255136794
1391 PENNSYLVANIA AVENUE SE,"1391 Pennsylvania Avenue Southeast, Washington, DC","Beautiful, large, one bedroom condo in secure Jenkin's Row. Garage parking included. Harris Teeter and Banking on site. 24 hour concierge. Gym. Business Center. Party rooms. Unit features brand new hardwood floors.",1,1 Bedroom,2200,728,2,38.8802061,-76.98761230000002,4598,2119,-0.17946162699976542
1391 PENNSYLVANIA AVENUE SE,"1391 Pennsylvania Avenue Southeast, Washington, DC","Beautiful, large, one bedroom condo in secure Jenkin's Row. Garage parking included. Harris Teeter and Banking on site. 24 hour concierge. Gym. Business Center. Party rooms. Unit features brand new hardwood floors.",1,2 Bedrooms,2320,1106,3,38.8802061,-76.98761230000002,4598,2119,-0.10059778167591939
2245 12TH STREET NW,"2245 12th Street Northwest, Washington, DC","Lovely furnished two-bedroom town home in Columbia Heights neighborhood. Home boasts open floor plan, well appointed furniture, updated kitchen, hardwood floors, washer/dryer and 6 foot privacy fenced-in backyard.",1,1 Bedroom,2648,2632,2,38.9201963,-77.02785879999998,2543,3742,0.11496339554259309
1330 PARK ROAD NW,"1330 Park Road Northwest, Washington, DC",This beautiful 2 bedroom and 2 bath apartment is located in the heart of Columbia Heights.,1,2 Bedrooms,2649,930,3,38.9307708,-77.0308694,3652,4918,0.11562059425362514
901 26TH STREET NW,"901 26th Street Northwest, Washington, DC","Remarkable 3-level property with parking. Sophisticated space with contemporary panache. First level media room/bedroom with full bath, sauna and steam shower.",1,2 Bedrooms,7000,2904,3,38.9009189,-77.0545746,1690,4171,2.9750921859540758
2440 16TH STREET NW,"2440 16th Street Northwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2440 16TH STREET NW in
      Washington. View photos, descriptions and more!
",1,Studio,1550,420,1,38.9220923,-77.0367548,2670,4317,-0.606640789170598
2440 16TH STREET NW,"2440 16th Street Northwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2440 16TH STREET NW in
      Washington. View photos, descriptions and more!
",1,1 Bedroom,1651,719,2,38.9220923,-77.0367548,2670,4317,-0.540263719356361
2440 16TH STREET NW,"2440 16th Street Northwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2440 16TH STREET NW in
      Washington. View photos, descriptions and more!
",1,2 Bedrooms,2320,1106,3,38.9220923,-77.0367548,2670,4317,-0.10059778167591939
1265 SIMMS PLACE NE,"1265 Simms Place Northeast, Washington, DC",Housing Choice Voucher Program (HCVP) Recipients welcomed and encouraged to apply! Lovely one bedroom and den apartment in Trinidad neighborhood.,1,1 Bedroom,1216,3368,2,38.9086019,-76.9835002,4654,2993,-0.8261451586553029
3725 12TH STREET NE,"3725 12th Street Northeast, Washington, DC","Location location location! Would you like to be in walking distance of the Brookland metro and Catholic University? A ton of new pubs, restaurants (Busboys and Poets, &Pizza, Brookland's Finest, Starbucks/coffeehouses, ""Yes"", organic market, etc.",1,1 Bedroom,1600,600,2,38.9354113,-76.99090249999998,5666,5263,-0.5737808536189956
3216 28TH STREET SE,"3216 28th Street Southeast, Washington, DC","Lovely and quaint Three Bedroom, One Bathroom apartment in Randle Heights neighborhood. Home also provides large living and huge back yard great for entertaining.",1,3 Bedrooms,2129,600,4,38.8503771,-76.967659,7912,5655,-0.226122735483041
1269 RAUM STREET NE,"1269 Raum St NE, Washington, DC",Lovely two bedroom apartment in Trinidad neighborhood. One bedroom boasts a living room and dining room. Walking distance to Gallaudet University and NY Avenue/NOMA Metro Station. 10 minute walk to the hot H Street Corridor and Atlas District.,1,1 Bedroom,1651,719,2,38.9078198,-76.98368020000002,4618,2923,-0.540263719356361
1269 RAUM STREET NE,"1269 Raum St NE, Washington, DC",Lovely two bedroom apartment in Trinidad neighborhood. One bedroom boasts a living room and dining room. Walking distance to Gallaudet University and NY Avenue/NOMA Metro Station. 10 minute walk to the hot H Street Corridor and Atlas District.,1,2 Bedrooms,1702,3232,3,38.9078198,-76.98368020000002,4618,2923,-0.5067465850937264
1813 35TH ST NW #UNIT 105,"1813 35th Street Northwest, Washington, DC",Now offering 1 MONTH FREE on 12 or more month leases! Don't miss the chance to live in the BRAND NEW 35th ST Residences! Our fully renovated residences are located in the heart of the historic Georgetown neighborhood in Northwest DC.,1,2 Bedrooms,4400,1158,3,38.9151014,-77.0690157,3473,5937,1.266375537270745
4564 MACARTHUR BLVD NW #201,"4564 Macarthur Boulevard Northwest, Washington, DC","Located within walking distance of numerous local restaurants and shops, Park MacArthur is situated minutes from everything Washington, DC has to offer.",1,1 Bedroom,1800,700,2,38.9091933,-77.0879011,4715,7204,-0.44234111141258553
880 P ST NW #101,"880 P Street Northwest, Washington, DC",A true oasis in on of the city's most desirable neighborhoods.We~re talking about features that elevate 880 P beyond ordinary. Private balconies with indoor/outdoor fireplaces. Soaking tubs. Italian cabinets and porcelain back-splashes.,1,2 Bedrooms,2320,1106,3,38.90940620000001,-77.02345859999998,1632,2508,-0.10059778167591939
880 P ST NW #101,"880 P Street Northwest, Washington, DC",A true oasis in on of the city's most desirable neighborhoods.We~re talking about features that elevate 880 P beyond ordinary. Private balconies with indoor/outdoor fireplaces. Soaking tubs. Italian cabinets and porcelain back-splashes.,1,3 Bedrooms,6650,1392,4,38.90940620000001,-77.02345859999998,1632,2508,2.745072637092858
1357 R ST NW #702,"1357 R St NW, Washington, DC","Introducing Liz a singular collection 78 modern residences, and the first project in DC by the renowned Selldorf Architects.",1,1 Bedroom,4900,680,2,38.9127472,-77.0312844,1669,3200,1.5949748927867702
1357 R ST NW #702,"1357 R St NW, Washington, DC","Introducing Liz a singular collection 78 modern residences, and the first project in DC by the renowned Selldorf Architects.",1,2 Bedrooms,2320,1106,3,38.9127472,-77.0312844,1669,3200,-0.10059778167591939
1357 R ST NW #702,"1357 R St NW, Washington, DC","Introducing Liz a singular collection 78 modern residences, and the first project in DC by the renowned Selldorf Architects.",1,3 Bedrooms,2872,1714,4,38.9127472,-77.0312844,1669,3200,0.26217590681377234
1230 ETON CT NW #T26,"1230 Eton Ct NW, Washington, DC","Sunlit, updated and fully renovated townhouse style condo in awesome Eton Court location in the heart of Georgetown.  This 3 bedroom, 2.",1,3 Bedrooms,4800,1478,4,38.9054627,-77.065507,2735,5229,1.5292550216835652
4341 MASSACHUSETTS AVE NW #4341,"4341 Massachusetts Avenue Northwest, Washington, DC","Sweet, sunlit two level condo style townhouse in super convenient location with easy parking. This 2 BR, 2.",1,2 Bedrooms,3300,1042,3,38.937281,-77.0847727,6104,8438,0.5434569551354899
922 24TH ST NW #316,"922 24th Street Northwest, Washington, DC","Fully furnished  bright and spacious studio at the Jefferson House with all Utilities and WiFi included ! Open layout with with tons of natural light. The updated kitchen features granite counter-tops, stainless appliances and gas cooking.",1,Studio,2100,413,1,38.9014619,-77.0516196,1453,3945,-0.24518149810297044
922 24TH ST NW #316,"922 24th Street Northwest, Washington, DC","Fully furnished  bright and spacious studio at the Jefferson House with all Utilities and WiFi included ! Open layout with with tons of natural light. The updated kitchen features granite counter-tops, stainless appliances and gas cooking.",1,1 Bedroom,1651,719,2,38.9014619,-77.0516196,1453,3945,-0.540263719356361
